qid,query_text,candidate_position,internal_row,doc_id,relevance,is_positive,base_score,pca_correction,pca_final_score,rars_correction,rars_final_score,base_rank,pca_rank,rars_rank,base_top10,pca_top10,rars_top10,pca_to_rars_rank_change,entered_rars_top10_vs_pca,left_rars_top10_vs_pca
1112341,what is the daily life of thai people,1,924801,8139255,3.0,True,0.666657567024231,0.00306852743960917,0.6697260737419128,0.012498484924435616,0.6791560649871826,1,1,1,True,True,True,0,False,False
1112341,what is the daily life of thai people,3,40638,378873,0.0,False,0.6243377923965454,0.00987300369888544,0.6342108249664307,0.008965916931629181,0.633303701877594,3,2,2,True,True,True,0,False,False
1112341,what is the daily life of thai people,2,794626,7252753,0.0,False,0.6372948884963989,-0.010057119652628899,0.6272377967834473,-0.00673989113420248,0.6305549740791321,2,4,3,True,True,True,-1,False,False
1112341,what is the daily life of thai people,7,148772,1373648,1.0,True,0.6142222285270691,0.013411488384008408,0.6276336908340454,0.016332700848579407,0.6305549144744873,7,3,4,True,True,True,1,False,False
1112341,what is the daily life of thai people,6,411098,3804824,0.0,False,0.6155419945716858,0.005008616950362921,0.6205506324768066,0.01262262649834156,0.6281646490097046,6,8,5,True,True,True,-3,False,False
1112341,what is the daily life of thai people,11,920620,8100082,0.0,False,0.6044726371765137,0.008831042796373367,0.6133036613464355,0.02305063046514988,0.6275232434272766,11,12,6,False,False,True,-6,True,False
1112341,what is the daily life of thai people,4,226941,2095998,0.0,False,0.6240100860595703,0.0001673275837674737,0.6241773962974548,0.0027093221433460712,0.6267194151878357,4,5,7,True,True,True,2,False,False
1112341,what is the daily life of thai people,34,850668,7615749,1.0,True,0.5955592393875122,0.01866971142590046,0.6142289638519287,0.02564319223165512,0.6212024092674255,34,11,8,False,False,True,-3,True,False
1112341,what is the daily life of thai people,5,330181,3055887,0.0,False,0.6157400608062744,0.007086445111781359,0.6228265166282654,0.005164019297808409,0.6209040880203247,5,6,9,True,True,True,3,False,False
1112341,what is the daily life of thai people,21,291351,2694635,2.0,True,0.6001618504524231,0.009318504482507706,0.6094803810119629,0.020443759858608246,0.6206055879592896,21,14,10,False,False,True,-4,True,False
1112341,what is the daily life of thai people,24,507113,4689927,0.0,False,0.5996531844139099,0.02115754410624504,0.6208107471466064,0.01945595256984234,0.6191091537475586,24,7,11,False,True,False,4,False,True
1112341,what is the daily life of thai people,19,498414,4609621,0.0,False,0.6005033850669861,0.0019529390847310424,0.6024563312530518,0.017737608402967453,0.618241012096405,19,21,12,False,False,False,-9,False,False
1112341,what is the daily life of thai people,8,7310,67027,0.0,False,0.6137292385101318,0.0039477599784731865,0.6176769733428955,0.0038888179697096348,0.6176180839538574,8,10,13,True,True,False,3,False,True
1112341,what is the daily life of thai people,26,115515,1066377,0.0,False,0.5978699922561646,0.021670136600732803,0.6195401549339294,0.01913345232605934,0.6170034408569336,26,9,14,False,True,False,5,False,True
1112341,what is the daily life of thai people,39,526315,4867302,0.0,False,0.5926533341407776,0.004885396454483271,0.5975387096405029,0.019054219126701355,0.6117075681686401,39,29,15,False,False,False,-14,False,False
1112341,what is the daily life of thai people,14,789910,7224283,0.0,False,0.6029311418533325,-0.0031359028071165085,0.5997952222824097,0.008548893965780735,0.6114800572395325,14,24,16,False,False,False,-8,False,False
1112341,what is the daily life of thai people,10,571179,5283919,0.0,False,0.6059606671333313,0.005376150831580162,0.6113368272781372,0.002827634569257498,0.6087883114814758,10,13,19,True,False,False,6,False,False
